1
10
11
12
3
4
5
6
7
8
A Lưới
An Biên
An Dương
An Lão
An Minh
An Phú
Anh Sơn
Ba Bể
Ba Chẽ
Ba Tri
Ba Tơ
Ba Vì
Ba Đình
Biên Hòa
Buôn Ma Thuột
Buôn Đôn
Bà Rịa
Bàu Bàng
Bá Thước
Bác Ái
Bát Xát
Bình Chánh
Bình Gia
Bình Giang
Bình Liêu
Bình Lục
Bình Sơn
Bình Thuỷ
Bình Thạnh
Bình Tân
Bình Xuyên
Bình Đại
Bù Gia Mập
Bù Đăng
Bù Đốp
Bạc Liêu
Bạch Long Vĩ
Bạch Thông
Bảo Lâm
Bảo Lạc
Bảo Lộc
Bảo Thắng
Bảo Yên
Bắc Bình
Bắc Giang
Bắc Hà
Bắc Mê
Bắc Ninh
Bắc Quang
Bắc Sơn
Bắc Trà My
Bắc Tân Uyên
Bắc Từ Liêm
Bắc Yên
Bến Cát
Bến Cầu
Bến Lức
Bến Tre
Bố Trạch
Cai Lậy
Cam Lâm
Cam Lộ
Cam Ranh
Can Lộc
Cao Bằng
Cao Lãnh
Cao Lộc
Cao Phong
Chi Lăng
Chiêm Hóa
Châu Phú
Châu Thành
Châu Thành A
Châu Đốc
Châu Đức
Chí Linh
Chư Prông
Chư Păh
Chư Pưh
Chư Sê
Chương Mỹ
Chợ Gạo
Chợ Lách
Chợ Mới
Chợ Đồn
Con Cuông
Cà Mau
Càng Long
Cái Bè
Cái Nước
Cái Răng
Cát Hải
Cô Tô
Côn Đảo
Cù Lao Dung
Cư Jút
Cư Kuin
Cư M'gar
Cần Giuộc
Cần Giờ
Cần Đước
Cầu Giấy
Cầu Kè
Cầu Ngang
Cẩm Giàng
Cẩm Khê
Cẩm Lệ
Cẩm Mỹ
Cẩm Phả
Cẩm Thủy
Cẩm Xuyên
Cồn Cỏ
Cờ Đỏ
Củ Chi
Di Linh
Diên Khánh
Diễn Châu
Duy Xuyên
Duyên Hải
Dĩ An
Dương Kinh
Dương Minh Châu
Dầu Tiếng
Ea H'leo
Ea Kar
Ea Súp
Gia Bình
Gia Lâm
Gia Lộc
Gia Nghĩa
Gia Viễn
Giang Thành
Giao Thủy
Gio Linh
Giồng Riềng
Giồng Trôm
Gò Công
Gò Công Tây
Gò Công Đông
Gò Dầu
Gò Quao
Gò Vấp
Hai Bà Trưng
Hiệp Hòa
Hiệp Đức
Hoa Lư
Hoà An
Hoà Bình
Hoài Ân
Hoài Đức
Hoàn Kiếm
Hoàng Mai
Hoàng Sa
Hoàng Su Phì
Hoằng Hóa
Hà Giang
Hà Quảng
Hà Tiên
Hà Trung
Hà Tĩnh
Hà Đông
Hàm Thuận Bắc
Hàm Thuận Nam
Hàm Tân
Hàm Yên
Hòa Bình
Hòa Vang
Hòn Đất
Hóc Môn
Hưng Hà
Hưng Nguyên
Hưng Yên
Hương Khê
Hương Sơn
Hướng Hóa
Hạ Hoà
Hạ Lang
Hạ Long
Hải An
Hải Châu
Hải Dương
Hải Hà
Hải Hậu
Hải Lăng
Hậu Lộc
Hồng Bàng
Hồng Dân
Hồng Ngự
Hội An
Hớn Quản
Hữu Lũng
Ia Grai
Ia H' Drai
Ia Pa
KBang
Khoái Châu
Khánh Sơn
Khánh Vĩnh
Kim Bôi
Kim Sơn
Kim Thành
Kim Động
Kiên Hải
Kiên Lương
Kiến An
Kiến Thuỵ
Kiến Xương
Kon Plông
Kon Rẫy
Kon Tum
Krông A Na
Krông Bông
Krông Búk
Krông Nô
Krông Năng
Krông Pa
Krông Pắc
Kông Chro
Kế Sách
Kỳ Anh
Kỳ Sơn
Lai Châu
Lai Vung
Lang Chánh
Liên Chiểu
Long Biên
Long Hồ
Long Khánh
Long Mỹ
Long Phú
Long Thành
Long Xuyên
Long Đất
Lào Cai
Lâm Bình
Lâm Hà
Lâm Thao
Lê Chân
Lý Nhân
Lý Sơn
Lương Sơn
Lương Tài
Lạc Dương
Lạc Sơn
Lạc Thủy
Lạng Giang
Lạng Sơn
Lấp Vò
Lập Thạch
Lắk
Lệ Thủy
Lộc Bình
Lộc Ninh
Lục Nam
Lục Ngạn
Lục Yên
M'Đrắk
Mai Châu
Mai Sơn
Mang Thít
Mang Yang
Minh Hóa
Minh Long
Mèo Vạc
Mê Linh
Móng Cái
Mù Căng Chải
Mường Chà
Mường Khương
Mường La
Mường Lát
Mường Nhé
Mường Tè
Mường Ảng
Mỏ Cày Bắc
Mỏ Cày Nam
Mộ Đức
Mộc Hóa
Mỹ Tho
Mỹ Tú
Mỹ Xuyên
Mỹ Đức
Na Hang
Na Rì
Nam Giang
Nam Sách
Nam Trà My
Nam Trực
Nam Từ Liêm
Nam Đàn
Nam Định
Nga Sơn
Nghi Lộc
Nghi Xuân
Nghĩa Hành
Nghĩa Hưng
Nghĩa Đàn
Nguyên Bình
Ngân Sơn
Ngã Bảy
Ngô Quyền
Ngũ Hành Sơn
Ngọc Hiển
Ngọc Hồi
Ngọc Lặc
Nha Trang
Nho Quan
Nhà Bè
Nhơn Trạch
Như Thanh
Như Xuân
Ninh Giang
Ninh Hải
Ninh Kiều
Ninh Phước
Ninh Sơn
Nông Cống
Núi Thành
Năm Căn
Nậm Nhùn
Nậm Pồ
Phan Rang-Tháp Chàm
Phan Thiết
Phong Thổ
Phong Điền
Phù Cát
Phù Cừ
Phù Mỹ
Phù Ninh
Phù Yên
Phú Bình
Phú Giáo
Phú Hoà
Phú Lương
Phú Lộc
Phú Mỹ
Phú Nhuận
Phú Ninh
Phú Quí
Phú Quốc
Phú Riềng
Phú Thiện
Phú Tân
Phú Vang
Phú Xuyên
